YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,1,1,-0.46,-1.49,-0.97,1.19,2.34,0.73,-1.61
1996,1,2,-2.35,-4.08,-3.21,-0.42,3.02,-0.98,-3.99
1996,1,3,-3.2,-4.73,-3.96,-1.34,4.02,-0.54,-4.56
1996,1,4,-2.01,-2.92,-2.46,-0.48,5.84,1.38,-4.46
1996,1,5,-3.1,-4.85,-3.98,-1.3,4.47,-0.81,-5.28
1996,1,6,-4.76,-6.49,-5.63,-2.45,4.48,-2.69,-7.17
1996,1,7,1.66,1.32,1.49,2.02,6.53,3.93,-2.6
1996,1,8,2.51,2.18,2.35,2.72,3.23,4.46,1.23
1996,1,9,2.99,2.49,2.74,2.95,2.98,4.56,1.58
1996,1,10,3.5,3.22,3.36,3.48,2.48,4.93,2.46
1996,1,11,3.84,3.13,3.49,3.67,6.14,6.79,0.65
1996,1,12,5.99,5.48,5.73,5.26,3.63,8.41,4.78
1996,1,13,5.21,4.91,5.06,4.74,3.61,6.81,3.2
1996,1,14,3.58,3.1,3.33,3.19,6.02,6.84,0.82
1996,1,15,1.24,1.08,1.16,1.38,5.02,3.92,-1.1
1996,1,16,1.85,1.54,1.69,2.38,2.18,2.91,0.73
1996,1,17,1.4,1.17,1.29,2.11,2.87,2.96,0.09
1996,1,18,-0.1,-0.95,-0.52,1.13,2.71,1.77,-0.95
1996,1,19,-0.93,-2.11,-1.52,0.52,2.96,0.75,-2.21
1996,1,20,-1.45,-3.8,-2.63,0.12,3.35,0.78,-2.57
1996,1,21,-2.02,-4.63,-3.33,-0.3,2.27,-0.57,-2.84
1996,1,22,-2.35,-4.56,-3.45,-0.71,5.49,0.58,-4.9
1996,1,23,-4.67,-6.49,-5.58,-2.4,4.02,-2.38,-6.41
1996,1,24,-4.38,-6.94,-5.66,-2.17,5.06,-2.02,-7.09
1996,1,25,-8.11,-11.57,-9.84,-4.94,4.13,-5.99,-10.12
1996,1,26,-9.03,-10.99,-10.02,-5.74,2.52,-7.81,-10.33
1996,1,27,-6.05,-8.1,-7.08,-3.91,4.9,-2.87,-7.77
1996,1,28,-5.82,-7.78,-6.8,-4.01,6.26,-2.5,-8.76
1996,1,29,-4.45,-6.06,-5.26,-3.06,5.66,-1.2,-6.86
1996,1,30,-3.99,-5.71,-4.85,-2.93,6.58,0.31,-6.27
1996,1,31,-3.7,-5.25,-4.48,-2.79,7.5,1.02,-6.48
1996,2,1,-4.1,-5.99,-5.05,-3.54,8.8,1.04,-7.76
1996,2,2,-3.18,-3.4,-3.29,-2.75,5.23,-0.06,-5.28
1996,2,3,-1.68,-2.81,-2.25,-1.8,3.71,0.48,-3.24
1996,2,4,-1.6,-2.51,-2.05,-2.17,5.3,1.4,-3.89
1996,2,5,-0.85,-2.18,-1.52,-1.3,5.36,2.22,-3.14
1996,2,6,-4.35,-6.33,-5.34,-3.02,6.09,-1.02,-7.13
1996,2,7,-5.91,-8.3,-7.1,-4.1,7.26,-1.54,-8.8
1996,2,8,-7.7,-9.6,-8.65,-5.99,4.45,-4.91,-9.36
1996,2,9,-5.08,-6.53,-5.81,-4,10.11,-0.52,-10.63
1996,2,10,0.83,-0.25,0.29,0.65,5.01,3.3,-1.72
1996,2,11,2.56,2.24,2.4,1.91,2.08,3.48,1.4
1996,2,12,1.23,0.48,0.86,0.64,2.18,2.48,0.3
1996,2,13,0.77,-0.3,0.24,1.01,0.95,1.28,0.34
1996,2,14,-0.27,-2.13,-1.2,0.31,2.9,0.87,-2.04
1996,2,15,1.11,-0.72,0.19,0.98,5.66,3.85,-1.81
1996,2,16,4.73,3.62,4.17,3.61,2.7,6.44,3.76
1996,2,17,4.48,2.46,3.47,3.5,4.58,6.3,1.72
1996,2,18,3.9,2.75,3.33,3.27,4.66,5.99,1.33
1996,2,19,-0.24,-2.02,-1.13,0.3,3.77,1.44,-2.32
1996,2,20,-2.27,-5.94,-4.11,-0.97,2.22,-1.12,-3.34
1996,2,21,-2.31,-6.99,-4.65,-1.4,3.08,-0.49,-3.56
1996,2,22,-0.38,-3.65,-2.02,0.15,3.69,1.71,-1.98
1996,2,23,-0.62,-2.49,-1.56,-0.06,5.68,2.38,-3.29
1996,2,24,1.58,0.5,1.05,1.56,4.96,3.77,-1.19
1996,2,25,4.55,3.61,4.08,3.65,2.99,6.26,3.26
1996,2,26,3.42,2.62,3.02,2.41,6.24,6.54,0.3
1996,2,27,2.75,0.81,1.78,1.67,9.02,8.24,-0.78
1996,2,28,1.76,0.32,1.04,1.86,7.8,6.8,-0.99
1996,2,29,1.66,0.49,1.08,1.79,7.38,6.15,-1.23
1996,3,1,1.64,0.69,1.16,1.28,5.37,4.04,-1.33
1996,3,2,1.23,-0.78,0.23,1.12,5.45,3.99,-1.45
1996,3,3,0.67,-1.66,-0.49,1.21,5.8,4.26,-1.54
1996,3,4,2.23,0.96,1.59,1.93,4.48,3.81,-0.67
1996,3,5,2.15,1.08,1.62,2.36,2.95,3.6,0.66
1996,3,6,3.5,2.59,3.05,3.3,5.06,6.44,1.37
1996,3,7,2.15,-0.38,0.88,2.13,7.16,6.29,-0.86
1996,3,8,1.42,-2.33,-0.45,1.57,8.91,6.6,-2.31
1996,3,9,1.33,-2.44,-0.56,1.52,8.94,6.83,-2.1
1996,3,10,0.6,-3.56,-1.48,0.96,8.52,5.83,-2.68
