YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,1,1,0.9,0.61,0.76,0.97,2.2,2.08,-0.1
1996,1,2,-0.88,-2.1,-1.49,-0.81,3.39,1.12,-2.27
1996,1,3,-1.4,-2.67,-2.04,-1.87,4.11,1.44,-2.67
1996,1,4,-0.41,-1.53,-0.97,-0.49,4.08,2.37,-1.71
1996,1,5,-1.95,-4.29,-3.13,-1.98,6.45,1.82,-4.64
1996,1,6,-2.51,-4.37,-3.44,-2.18,5.31,0.16,-5.16
1996,1,7,2.69,2.58,2.63,2.15,6.37,4.58,-1.77
1996,1,8,2.55,2.19,2.37,2.23,6.05,6.3,0.26
1996,1,9,3.69,3.19,3.44,3.12,5.03,6.41,1.38
1996,1,10,4.44,4.18,4.31,3.78,4.52,7.08,2.56
1996,1,11,4.51,3.76,4.13,3.88,6.5,7.66,1.16
1996,1,12,6.34,5.86,6.1,5.48,4.05,9.11,5.05
1996,1,13,5.9,5.38,5.64,5.43,4.67,8.67,4
1996,1,14,3.91,3.23,3.58,3.4,9.14,8.9,-0.24
1996,1,15,2.82,2.38,2.6,2.19,7.82,7.51,-0.3
1996,1,16,2.88,2.46,2.67,2.42,4.4,5.75,1.35
1996,1,17,1.83,1.19,1.51,1.76,5.98,5.9,-0.08
1996,1,18,0.31,-0.46,-0.08,0.7,4.38,2.51,-1.87
1996,1,19,-0.4,-1.37,-0.88,-0.03,4.34,2.04,-2.3
1996,1,20,-1.71,-4.08,-2.9,-1.43,4.62,1.41,-3.2
1996,1,21,-1.52,-4.28,-2.9,-1.26,4.57,0.64,-3.93
1996,1,22,-0.56,-3.99,-2.27,-0.62,7.08,3.46,-3.62
1996,1,23,-2.99,-5.74,-4.37,-2.64,5.95,0.23,-5.72
1996,1,24,-2.46,-5.57,-4.02,-2.19,6.59,0.55,-6.03
1996,1,25,-7.48,-11.59,-9.53,-6.81,4.28,-5.38,-9.65
1996,1,26,-8.26,-11.22,-9.74,-7.27,2.39,-6.99,-9.38
1996,1,27,-4.7,-6.68,-5.69,-4.26,7.94,-0.09,-8.02
1996,1,28,-5.83,-8.53,-7.18,-5.45,7.48,-1.6,-9.09
1996,1,29,-4.31,-6.34,-5.32,-4.11,8.47,0.57,-7.9
1996,1,30,-3.19,-4.95,-4.07,-3.11,8.34,2.15,-6.19
1996,1,31,-3.79,-5.81,-4.8,-3.83,9.8,2.14,-7.67
1996,2,1,-3.75,-5.08,-4.42,-4.09,10.26,2.11,-8.14
1996,2,2,-2.47,-3.24,-2.85,-3.24,6.81,1.85,-4.97
1996,2,3,-2.09,-3.24,-2.67,-2.42,5.89,1.69,-4.2
1996,2,4,-2.49,-4.92,-3.7,-3.14,5.93,1.11,-4.81
1996,2,5,-3.45,-5.5,-4.48,-3.95,7.54,1.32,-6.22
1996,2,6,-4.86,-7.24,-6.06,-4.72,8.07,0.44,-7.63
1996,2,7,-4.41,-6.95,-5.68,-4.26,9.62,1.05,-8.56
1996,2,8,-5.17,-7.85,-6.51,-5.14,5.45,-1.53,-6.98
1996,2,9,-2.41,-4.64,-3.52,-2.94,11.55,2.99,-8.56
1996,2,10,1.63,0.4,1.01,1.25,5.98,5.06,-0.92
1996,2,11,2.26,1.93,2.1,1.84,3.17,3.81,0.65
1996,2,12,1.53,0.76,1.14,1.1,4.19,4.33,0.15
