YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,1,1,0.86,0.64,0.75,0.54,3.48,2.58,-0.91
1996,1,2,-1.02,-1.95,-1.49,-1.79,4.2,1.4,-2.8
1996,1,3,-1.05,-1.66,-1.35,-2.02,3.71,1.33,-2.38
1996,1,4,-0.64,-1.79,-1.22,-0.95,5.34,2.48,-2.87
1996,1,5,-1.38,-3.38,-2.38,-1.76,6.21,2.9,-3.31
1996,1,6,-0.64,-2.05,-1.35,-0.78,4.38,1.22,-3.17
1996,1,7,3.33,3.26,3.3,2.73,5.01,5.2,0.2
1996,1,8,2.92,2.55,2.73,2.52,6.78,7.02,0.25
1996,1,9,4.02,3.44,3.73,3.45,5.79,7.01,1.22
1996,1,10,4.57,4.31,4.44,3.77,6.71,8.09,1.38
1996,1,11,4.82,3.94,4.38,4.27,7.06,7.94,0.88
1996,1,12,6.65,6.17,6.41,5.94,4.81,9.56,4.75
1996,1,13,6.05,5.48,5.76,5.76,5,9.07,4.07
1996,1,14,4.23,3.4,3.82,3.83,10.1,10.01,-0.1
1996,1,15,3.63,2.9,3.26,3.31,9.69,9.9,0.22
1996,1,16,3.37,2.55,2.96,3.11,6.59,8.13,1.55
1996,1,17,1.86,0.92,1.39,1.8,8.78,7.13,-1.66
1996,1,18,0.58,-0.18,0.2,0.65,5.52,3.08,-2.43
1996,1,19,-0.54,-1.31,-0.92,-0.56,5.83,3.44,-2.39
1996,1,20,-2.07,-4.26,-3.17,-2.25,5.88,2.12,-3.75
1996,1,21,-1.06,-3.54,-2.3,-1.2,5.24,1.9,-3.34
1996,1,22,0.01,-3.5,-1.75,-0.29,8.72,5.48,-3.23
1996,1,23,-1.45,-4.4,-2.92,-1.38,6.42,2.36,-4.06
1996,1,24,-1.2,-3.67,-2.43,-1.27,7.55,2.54,-5.01
1996,1,25,-6.24,-10.29,-8.27,-5.95,3.7,-4.3,-7.99
1996,1,26,-7.26,-10.1,-8.68,-6.91,2.58,-5.76,-8.34
1996,1,27,-3.83,-5.31,-4.56,-3.82,9.09,1.36,-7.74
1996,1,28,-4.68,-7,-5.84,-4.63,7.74,-0.12,-7.85
1996,1,29,-3.82,-5.86,-4.85,-3.97,9.38,1.54,-7.85
1996,1,30,-2.61,-4.23,-3.42,-2.84,8.76,3.01,-5.75
1996,1,31,-3.54,-5.89,-4.72,-3.85,10.59,2.82,-7.77
1996,2,1,-3.29,-4.76,-4.02,-3.69,11.62,3.3,-8.32
1996,2,2,-1.81,-2.99,-2.4,-2.67,7.15,2.02,-5.13
1996,2,3,-2.32,-3.52,-2.92,-2.52,6.52,1.94,-4.58
1996,2,4,-2.9,-5.47,-4.18,-3.92,5.91,0.8,-5.11
1996,2,5,-4.25,-6.56,-5.41,-5.12,9.09,1.22,-7.87
1996,2,6,-5.23,-7.89,-6.56,-5.5,9.62,0.97,-8.64
1996,2,7,-3.65,-5.97,-4.81,-3.84,8.88,1.48,-7.41
1996,2,8,-4.01,-6.31,-5.16,-4.32,5.92,-0.23,-6.15
1996,2,9,-1.03,-3.2,-2.12,-1.74,8.57,3.16,-5.41
1996,2,10,1.69,0.4,1.05,1.34,6.01,5.16,-0.85
1996,2,11,1.99,1.64,1.82,1.67,2.66,3.39,0.74
1996,2,12,1.77,0.9,1.33,1.43,5.48,5.57,0.08
1996,2,13,0.56,-0.29,0.14,0.37,2.2,1.99,-0.21
1996,2,14,-0.69,-2.27,-1.49,-0.77,4.5,1.37,-3.13
1996,2,15,-0.72,-2.66,-1.69,-0.92,5.59,2.08,-3.51
1996,2,16,3.6,3.09,3.34,3,6.13,7.05,0.92
1996,2,17,4.02,2.12,3.08,3.58,5.31,7.38,2.07
1996,2,18,4.32,3.04,3.68,3.95,4.9,7.23,2.33
1996,2,19,0.14,-1.15,-0.51,0,4.45,2.31,-2.13
1996,2,20,-2.77,-5.81,-4.29,-2.68,3.55,-1.1,-4.64
1996,2,21,-4.34,-8.43,-6.38,-4.38,7.15,-0.18,-7.33
1996,2,22,-2.08,-4.86,-3.47,-2.24,9.23,1.6,-7.63
1996,2,23,-0.95,-2.76,-1.85,-0.8,5.11,1.95,-3.16
1996,2,24,1.34,0.2,0.77,1.09,7.12,4.43,-2.69
1996,2,25,4.51,3.17,3.84,3.88,4.09,6.8,2.71
1996,2,26,3.55,1.53,2.55,2.55,6.19,7.27,1.08
1996,2,27,2.6,1.08,1.83,1.86,7.84,7.74,-0.1
1996,2,28,1.91,1.15,1.53,1.91,6.41,6.45,0.05
1996,2,29,1.96,0.36,1.16,2.2,7.09,6.37,-0.71
1996,3,1,1.89,1.48,1.69,1.54,7.14,5.13,-2.01
1996,3,2,0.44,-1.94,-0.75,0.97,7.84,4.88,-2.97
1996,3,3,0.38,-2.06,-0.84,0.34,9.08,5.51,-3.56
1996,3,4,0.54,-0.47,0.03,0.28,7.66,4.08,-3.57
1996,3,5,2.62,1.52,2.07,2.46,5.93,5.51,-0.42
1996,3,6,2.73,1.71,2.22,2.58,8.3,7.7,-0.6
1996,3,7,2.03,-0.4,0.82,1.87,8.15,6.84,-1.31
1996,3,8,2.32,-1.2,0.56,2.33,12.16,9.55,-2.62
1996,3,9,2.86,-1.43,0.71,2.74,14.45,11.5,-2.95
1996,3,10,0.73,-3.82,-1.55,0.63,11.53,7.62,-3.91
1996,3,11,-1.38,-5.63,-3.51,-0.85,8.87,4.09,-4.77
1996,3,12,-2.17,-8.06,-5.12,-1.76,8.35,2.76,-5.59
1996,3,13,-1.38,-6.24,-3.81,-0.98,7.94,3.23,-4.72
1996,3,14,0.55,-3.62,-1.53,0.55,11.91,7.55,-4.36
1996,3,15,3.31,-0.85,1.23,3.2,12.1,10.95,-1.15
1996,3,16,3.59,0.68,2.14,3.55,11.64,9.81,-1.83
1996,3,17,3.77,1.83,2.8,3.79,7.52,8.27,0.75
1996,3,18,4,1.6,2.8,3.58,7.37,8.38,1.01
1996,3,19,4.68,1.59,3.14,4.4,11.38,11.52,0.15
1996,3,20,5.96,2.67,4.31,6.07,13.23,12.74,-0.49
1996,3,21,6.23,5.17,5.7,6.07,6.14,9.69,3.55
1996,3,22,6.76,5.86,6.31,6.51,5.41,9.83,4.41
1996,3,23,9.39,8.33,8.87,9.1,7.78,13.43,5.64
1996,3,24,8.05,5.53,6.79,8.55,8.52,12.6,4.09
1996,3,25,8.73,4.92,6.83,8.98,12.73,16.09,3.37
1996,3,26,4.82,1.89,3.35,4.81,9.02,8.63,-0.38
1996,3,27,0.96,-5.88,-2.46,1.25,11.35,7.33,-4.02
1996,3,28,1.97,-2.49,-0.26,2.12,11.61,7.63,-3.98
1996,3,29,2.92,0.65,1.78,2.94,7.2,6.98,-0.23
1996,3,30,1.81,-1.72,0.05,1.9,8.09,6,-2.1
1996,3,31,1.94,-0.66,0.64,2.09,7.2,5.91,-1.28
1996,4,1,1.36,-4.31,-1.48,2.01,10.75,7.12,-3.63
1996,4,2,0.58,-3.56,-1.49,0.95,10.02,5.46,-4.56
1996,4,3,1.87,-3.59,-0.86,2.28,12.15,8.33,-3.82
1996,4,4,3.74,-1.31,1.22,4.19,13.05,10.54,-2.52
1996,4,5,5.41,1.4,3.41,5.73,12.77,11.86,-0.91
1996,4,6,7.39,3.12,5.26,7.46,11.73,13.99,2.26
1996,4,7,6.26,3.3,4.77,6.37,10.64,11.8,1.15
1996,4,8,6.72,4.14,5.43,6.35,9.52,11.21,1.69
1996,4,9,9.16,5.9,7.53,9.53,12.58,15.24,2.66
1996,4,10,10.34,6.15,8.24,10.87,12.81,16.55,3.74
1996,4,11,8.99,6.86,7.92,9.34,6.4,12.47,6.08
1996,4,12,4.21,-2.03,1.09,4.71,6.71,7.68,0.97
1996,4,13,5.65,-1.09,2.28,6.29,12.94,12.17,-0.77
1996,4,14,6.98,0.62,3.8,7.58,14.7,14.04,-0.66
1996,4,15,8.93,0.57,4.75,8.55,16.06,16.24,0.18
1996,4,16,10.31,1.98,6.14,10.2,14.94,17.91,2.98
1996,4,17,10.06,4.19,7.12,10.34,13.52,17.36,3.83
1996,4,18,10.68,5.85,8.26,11.23,11.63,16.62,4.98
1996,4,19,13.31,7.04,10.18,13.19,12.09,19.21,7.12
1996,4,20,14.37,8.6,11.48,14.06,11.5,20.87,9.36
1996,4,21,15.4,8.25,11.83,15.29,13.01,22.15,9.15
1996,4,22,16.39,10.61,13.5,16.05,10.52,21.26,10.74
1996,4,23,14,8.35,11.18,14.26,10.13,17.86,7.73
1996,4,24,9.9,6.17,8.04,10.15,8.06,13.67,5.6
1996,4,25,9.53,4.94,7.23,10.33,10.88,15.9,5.03
1996,4,26,11.12,6.49,8.8,11.8,14.57,17.89,3.32
1996,4,27,13.62,9.1,11.36,14.29,13.86,20.25,6.39
1996,4,28,11.38,6.64,9.01,12.06,11.62,17.01,5.39
1996,4,29,8.24,2.23,5.23,9.72,9.02,13.22,4.19
1996,4,30,9.48,1.85,5.67,9.46,11.58,14.76,3.18
1996,5,1,10.49,5.51,8.01,10.33,9.17,14.87,5.7
1996,5,2,11.33,7.94,9.63,12.04,8.12,15.44,7.32
1996,5,3,8.76,6.48,7.62,9.69,6.77,12.63,5.87
1996,5,4,6.71,2.04,4.37,7.51,8.77,10.4,1.64
1996,5,5,6.72,0.23,3.48,7.59,10.88,11.64,0.76
1996,5,6,7.07,0.65,3.87,7.23,9.18,11.91,2.74
1996,5,7,10.28,3.6,6.94,10.66,14.56,16.91,2.35
1996,5,8,9.12,2.69,5.9,9.2,11.12,15.15,4.02
1996,5,9,8.55,1.26,4.9,9.09,11.96,14.63,2.67
1996,5,10,7.19,1.95,4.57,8.15,9.41,11.83,2.4
1996,5,11,8.56,3.44,6,9.27,11.52,13.19,1.67
1996,5,12,9.08,5.52,7.3,9.51,7.34,12.61,5.27
1996,5,13,8.49,4.52,6.51,9.15,7.64,12.18,4.54
1996,5,14,9.84,6.79,8.31,10.3,6.95,13.59,6.63
1996,5,15,9.14,4.41,6.78,9.55,10.58,14.58,4
1996,5,16,8.06,2.94,5.5,8.67,9.73,11.58,1.86
1996,5,17,10.98,8.42,9.7,11.54,7.56,15.65,8.1
1996,5,18,12.49,10.62,11.55,12.61,10.31,17.92,7.61
1996,5,19,11.56,7.36,9.46,11.64,9.79,15.84,6.06
1996,5,20,10.82,4.61,7.71,11.41,12.54,16.51,3.98
1996,5,21,10.08,6.46,8.27,10.26,9.46,14.85,5.39
1996,5,22,10.32,6.75,8.54,10.55,10.2,15.14,4.93
1996,5,23,13.4,10.24,11.82,13.57,6.9,16.82,9.91
1996,5,24,14.54,11.08,12.81,14.46,5.85,18.25,12.4
1996,5,25,12.84,9.65,11.25,12.86,8.44,16.03,7.58
1996,5,26,12.25,8.91,10.58,12.78,10.8,17.34,6.54
1996,5,27,11.35,9.06,10.21,11.37,9.48,14.97,5.49
1996,5,28,10.99,4.31,7.65,11.89,12.46,15.71,3.25
1996,5,29,16.1,10.58,13.33,16.45,12.66,21.87,9.22
1996,5,30,19.52,13.55,16.53,19.48,12.89,25.27,12.38
1996,5,31,16.54,10.49,13.51,17.21,10.61,20.66,10.05
1996,6,1,13.15,6.94,10.04,13.78,9.69,17.8,8.12
1996,6,2,13.04,6.59,9.81,13.84,11.5,18.23,6.73
1996,6,3,14.9,8.06,11.48,15.7,13.03,20.63,7.6
1996,6,4,15.67,10.38,13.02,16.26,12.8,22.04,9.24
1996,6,5,20.14,12.76,16.44,20.15,15.17,26.85,11.68
1996,6,6,22.4,15.55,18.98,22.15,14.82,28.43,13.62
1996,6,7,24.25,17.87,21.06,24.09,13.93,30.65,16.73
1996,6,8,21.94,17.69,19.82,22.15,12.82,27.06,14.24
1996,6,9,17.27,12.15,14.71,17.9,8.67,21.65,12.98
1996,6,10,20.36,14.77,17.57,20.8,14.59,26.69,12.09
1996,6,11,20.16,15.33,17.74,21,12.15,26.06,13.91
1996,6,12,15.8,9.75,12.77,16.37,10.29,19.74,9.46
1996,6,13,14.32,6.14,10.23,14.96,11.43,20.23,8.8
1996,6,14,14.22,7.21,10.71,15.44,13.07,20.22,7.14
1996,6,15,15.43,6.82,11.12,16.34,14.78,22.21,7.42
1996,6,16,16.6,9.37,12.98,17.52,14.24,23.17,8.94
1996,6,17,18.38,10.83,14.61,19.06,15.21,24.96,9.75
1996,6,18,16.14,9.61,12.87,16.98,11.84,21.47,9.63
1996,6,19,13.45,8.02,10.73,14.11,6.5,16.23,9.73
1996,6,20,12.12,8.21,10.16,12.53,8.09,15.94,7.84
1996,6,21,11.71,5.58,8.65,12.97,9.48,16.44,6.96
1996,6,22,11.69,7.66,9.68,12.13,6.99,15.37,8.37
1996,6,23,12.01,7.54,9.77,12.82,6.86,15.4,8.54
1996,6,24,11.97,8.5,10.23,12.4,6.52,15.08,8.55
1996,6,25,13.16,9.4,11.28,13.93,9.94,17.89,7.95
1996,6,26,16.37,10.8,13.58,17.38,14.23,22.7,8.48
1996,6,27,16.95,13.37,15.15,17.33,9.84,21.77,11.93
1996,6,28,17.11,12.42,14.76,17.56,8.78,21.83,13.05
1996,6,29,13.94,9.94,11.94,14.45,5.67,16.98,11.3
1996,6,30,14.3,11.02,12.66,14.58,8.25,18.72,10.47
1996,7,1,14.26,9.64,11.95,14.6,6.87,17.73,10.87
1996,7,2,13.94,9.13,11.54,14.36,9.21,18.49,9.28
1996,7,3,16.49,11.2,13.85,16.94,12.71,22.19,9.48
1996,7,4,16.3,11.02,13.66,16.64,8.45,19.93,11.48
1996,7,5,13.68,10.01,11.84,13.99,5.38,16.35,10.98
1996,7,6,12.97,9.28,11.12,13.3,7.79,16.23,8.44
1996,7,7,13.75,7.36,10.55,14.65,12.25,18.42,6.17
1996,7,8,13.58,8.34,10.96,14.46,9.4,18.08,8.69
1996,7,9,15.33,10.62,12.98,16.06,11.48,20.51,9.03
1996,7,10,15.44,11.48,13.46,15.65,8.08,18.92,10.84
1996,7,11,18.69,13.88,16.29,19.33,14.49,25.26,10.77
1996,7,12,18.57,13.87,16.22,19.36,12.24,24.21,11.97
1996,7,13,18.11,13.33,15.72,18.77,10.23,23.47,13.23
1996,7,14,19.53,15.51,17.52,20.47,10.91,24.87,13.96
1996,7,15,18.43,10.61,14.52,19.33,11.55,23.76,12.21
1996,7,16,15.82,8.37,12.09,16.84,12.26,21.76,9.49
1996,7,17,16.46,8.49,12.48,17.4,12.68,23.02,10.34
1996,7,18,15.64,8.12,11.88,16.69,14.29,22.44,8.15
1996,7,19,16.57,8.95,12.76,17.74,14.62,23.28,8.67
1996,7,20,19.11,8.65,13.87,19.9,15.62,25.94,10.3
1996,7,21,20.54,9.67,15.11,21.05,14.98,27.06,12.08
1996,7,22,21.78,9.51,15.64,22.18,14.5,28.61,14.11
1996,7,23,21.05,13.38,17.22,21.22,11.47,26.93,15.46
1996,7,24,16.24,12.14,14.19,16.76,6.95,19.85,12.9
1996,7,25,16.44,12.5,14.47,17.12,10.32,21.48,11.15
1996,7,26,18.57,10.15,14.36,19.27,13.88,25.08,11.2
1996,7,27,18.54,11.66,15.1,19.13,11.47,24.17,12.7
1996,7,28,18.9,10.4,14.65,19.89,11.86,24.52,12.65
1996,7,29,18.65,13.72,16.19,19.24,9.3,22.94,13.65
1996,7,30,18.64,13.94,16.29,19.51,11.59,23.97,12.37
1996,7,31,17.73,13.76,15.75,18.12,8.48,21.94,13.45
1996,8,1,16.76,11.5,14.13,17.28,8.3,20.8,12.49
1996,8,2,16.8,10.81,13.8,17.59,10.69,21.83,11.15
1996,8,3,17,9.62,13.31,17.76,12.57,23.11,10.54
1996,8,4,18.16,9.07,13.62,18.89,14.39,24.79,10.4
1996,8,5,19.24,7.01,13.12,19.66,14.89,26.3,11.4
1996,8,6,19,13.01,16.01,19.15,10.4,23.55,13.16
1996,8,7,15.44,10.78,13.11,15.94,9.05,19.97,10.92
1996,8,8,17.51,9.35,13.43,17.77,14.64,24.05,9.42
1996,8,9,20.09,10.4,15.25,19.55,12.98,27.11,14.12
1996,8,10,19.15,13.14,16.14,19.19,7.31,23.63,16.32
1996,8,11,17.55,13.94,15.75,17.76,7.43,21.08,13.65
1996,8,12,16.67,13.48,15.07,16.94,8.36,20.63,12.27
1996,8,13,18.26,16.23,17.25,18.14,6.38,21.82,15.44
1996,8,14,18.59,14.75,16.67,18.99,8.92,23.33,14.41
1996,8,15,17.58,13.28,15.43,18.09,10.95,23.22,12.27
1996,8,16,17.88,12.17,15.02,18.16,11.3,23.29,11.99
1996,8,17,18.87,11.76,15.32,19.18,13.24,25.26,12.02
1996,8,18,20.05,13.17,16.61,20.6,15.43,27.31,11.88
1996,8,19,21.85,12.45,17.15,21.73,15.44,29.61,14.16
1996,8,20,22.49,14.93,18.71,22.94,15.27,30.14,14.87
1996,8,21,18.74,15.61,17.17,18.87,6.63,21.41,14.79
1996,8,22,18.44,12.31,15.37,18.87,12.34,24.15,11.82
1996,8,23,18.15,12.94,15.55,18.23,11.41,24.31,12.9
1996,8,24,15.91,12.15,14.03,16.08,7.73,20.12,12.38
1996,8,25,15.66,11.48,13.57,15.9,8.78,20.32,11.53
1996,8,26,15.83,10.61,13.22,16.15,11.09,21.08,10
1996,8,27,14.87,11.81,13.34,14.89,8.62,19.15,10.53
1996,8,28,13.82,12.41,13.12,13.57,6.98,17.01,10.03
1996,8,29,14.17,12.87,13.52,14.01,4.31,16.55,12.23
1996,8,30,14.48,12.65,13.57,14.43,6.8,17.71,10.91
1996,8,31,12.87,9.56,11.22,12.9,8.54,16.85,8.31
1996,9,1,12.75,9.63,11.19,12.69,10.11,17.31,7.2
