REGION,YEAR,quarters,COD,deathcount,country
2000,2009,Q1,Diseases of the circulatory system,5498,belgium
2000,2009,Q1,Diseases of the nervous system,622,belgium
2000,2009,Q1,Diseases of the respiratory system,2361,belgium
2000,2009,Q1,Diseases of the skin and subcutaneous tissue,37,belgium
2000,2009,Q1,Mental and behavioural disorders,709,belgium
2000,2009,Q1,Neoplasms,3981,belgium
2000,2009,Q2,Diseases of the circulatory system,4419,belgium
2000,2009,Q2,Diseases of the nervous system,491,belgium
2000,2009,Q2,Diseases of the respiratory system,1355,belgium
2000,2009,Q2,Diseases of the skin and subcutaneous tissue,26,belgium
2000,2009,Q2,Mental and behavioural disorders,527,belgium
2000,2009,Q2,Neoplasms,3989,belgium
2000,2009,Q3,Diseases of the circulatory system,4060,belgium
2000,2009,Q3,Diseases of the nervous system,477,belgium
2000,2009,Q3,Diseases of the respiratory system,1151,belgium
2000,2009,Q3,Diseases of the skin and subcutaneous tissue,39,belgium
2000,2009,Q3,Mental and behavioural disorders,559,belgium
2000,2009,Q3,Neoplasms,4032,belgium
2000,2009,Q4,Diseases of the circulatory system,4781,belgium
2000,2009,Q4,Diseases of the nervous system,603,belgium
2000,2009,Q4,Diseases of the respiratory system,1362,belgium
2000,2009,Q4,Diseases of the skin and subcutaneous tissue,49,belgium
2000,2009,Q4,Mental and behavioural disorders,674,belgium
2000,2009,Q4,Neoplasms,4235,belgium
2000,2010,Q1,Diseases of the circulatory system,5153,belgium
2000,2010,Q1,Diseases of the nervous system,667,belgium
2000,2010,Q1,Diseases of the respiratory system,1867,belgium
2000,2010,Q1,Diseases of the skin and subcutaneous tissue,28,belgium
2000,2010,Q1,Mental and behavioural disorders,700,belgium
2000,2010,Q1,Neoplasms,4158,belgium
2000,2010,Q2,Diseases of the circulatory system,4459,belgium
2000,2010,Q2,Diseases of the nervous system,557,belgium
2000,2010,Q2,Diseases of the respiratory system,1433,belgium
2000,2010,Q2,Diseases of the skin and subcutaneous tissue,30,belgium
2000,2010,Q2,Mental and behavioural disorders,523,belgium
2000,2010,Q2,Neoplasms,4015,belgium
2000,2010,Q3,Diseases of the circulatory system,4313,belgium
2000,2010,Q3,Diseases of the nervous system,507,belgium
2000,2010,Q3,Diseases of the respiratory system,1202,belgium
2000,2010,Q3,Diseases of the skin and subcutaneous tissue,40,belgium
2000,2010,Q3,Mental and behavioural disorders,532,belgium
2000,2010,Q3,Neoplasms,4114,belgium
2000,2010,Q4,Diseases of the circulatory system,4817,belgium
2000,2010,Q4,Diseases of the nervous system,567,belgium
2000,2010,Q4,Diseases of the respiratory system,1540,belgium
2000,2010,Q4,Diseases of the skin and subcutaneous tissue,31,belgium
2000,2010,Q4,Mental and behavioural disorders,655,belgium
2000,2010,Q4,Neoplasms,4245,belgium
2000,2011,Q1,Diseases of the circulatory system,4765,belgium
2000,2011,Q1,Diseases of the nervous system,617,belgium
2000,2011,Q1,Diseases of the respiratory system,1713,belgium
2000,2011,Q1,Diseases of the skin and subcutaneous tissue,48,belgium
2000,2011,Q1,Mental and behavioural disorders,639,belgium
2000,2011,Q1,Neoplasms,4154,belgium
2000,2011,Q2,Diseases of the circulatory system,4323,belgium
2000,2011,Q2,Diseases of the nervous system,537,belgium
2000,2011,Q2,Diseases of the respiratory system,1440,belgium
2000,2011,Q2,Diseases of the skin and subcutaneous tissue,31,belgium
2000,2011,Q2,Mental and behavioural disorders,588,belgium
2000,2011,Q2,Neoplasms,4014,belgium
2000,2011,Q3,Diseases of the circulatory system,3960,belgium
2000,2011,Q3,Diseases of the nervous system,586,belgium
2000,2011,Q3,Diseases of the respiratory system,1149,belgium
2000,2011,Q3,Diseases of the skin and subcutaneous tissue,30,belgium
2000,2011,Q3,Mental and behavioural disorders,564,belgium
2000,2011,Q3,Neoplasms,4127,belgium
2000,2011,Q4,Diseases of the circulatory system,4703,belgium
2000,2011,Q4,Diseases of the nervous system,634,belgium
2000,2011,Q4,Diseases of the respiratory system,1614,belgium
2000,2011,Q4,Diseases of the skin and subcutaneous tissue,21,belgium
2000,2011,Q4,Mental and behavioural disorders,663,belgium
2000,2011,Q4,Neoplasms,4349,belgium
2000,2012,Q1,Diseases of the circulatory system,5308,belgium
2000,2012,Q1,Diseases of the nervous system,850,belgium
2000,2012,Q1,Diseases of the respiratory system,2291,belgium
