Perioden;Totaal alle overledenen;Nieuwvormingen|Totaal nieuwvormingen;Nieuwvormingen|Kwaadaardige nv. van luchtpijp en long;Nieuwvormingen|Kwaadaardige nieuwvorming van borst;Nieuwvormingen|Overige nieuwvormingen;Psychische stoornis. en zktn zenuwstel;Ziekten van hart en vaatstelsel|Totaal ziekten van hart en vaatstelsel;Ziekten van hart en vaatstelsel|Acuut hartinfarct;Ziekten van hart en vaatstelsel|Hersenvaatletsels;Ziekten van hart en vaatstelsel|Overige ziekten van hart en vaatstelsel;Ziekten van de ademhalingsorganen;Overige doodsoorzaken
1996 1e kwartaal;38552;9609;2073;870;6666;2036;14751;4414;3454;6883;4556;7600
1996 2e kwartaal;33618;9426;2171;917;6338;1772;12507;3673;3063;5771;3089;6824
1996 3e kwartaal;31499;9494;2109;883;6502;1619;11281;3385;2663;5233;2484;6621
1996 4e kwartaal;33892;9742;2218;907;6617;1680;12774;3786;3052;5936;2926;6770
1997 1e kwartaal;37134;9612;2203;926;6483;1976;13789;4015;3248;6526;4527;7230
1997 2e kwartaal;32710;9405;2102;856;6447;1682;11887;3320;2998;5569;2965;6771
1997 3e kwartaal;32520;9494;2093;928;6473;1865;11597;3311;2898;5388;2760;6804
1997 4e kwartaal;33419;9576;2221;899;6456;1706;12488;3628;3002;5858;2924;6725
1998 1e kwartaal;35003;9478;2166;829;6483;1780;12875;3731;3038;6106;3911;6959
1998 2e kwartaal;34417;9655;2154;913;6588;1809;12419;3578;3015;5826;3618;6916
1998 3e kwartaal;32359;9588;2151;937;6500;1746;11377;3163;2856;5358;2758;6890
1998 4e kwartaal;35703;9640;2175;889;6576;2028;13155;3629;3195;6331;3726;7154
1999 1e kwartaal;38632;9820;2141;932;6747;2201;13879;3851;3434;6594;5043;7689
1999 2e kwartaal;33577;9593;2201;872;6520;1965;11773;3172;2916;5685;3127;7119
1999 3e kwartaal;33277;9825;2130;952;6743;2058;11289;2972;2974;5343;2872;7233
1999 4e kwartaal;35001;9891;2253;948;6690;1926;12653;3462;3085;6106;3327;7204
2000 1e kwartaal;38296;9697;2135;839;6723;2090;13485;3633;3205;6647;5213;7811
2000 2e kwartaal;34179;9540;2074;825;6641;1975;12027;3178;3009;5840;3326;7311
2000 3e kwartaal;32791;9776;2152;905;6719;1932;11339;2927;2936;5476;2695;7049
2000 4e kwartaal;35261;9792;2198;883;6711;2024;12340;3221;3034;6085;3443;7662
