country,YEAR,quarters,TEMP_MEAN,TEMP_RNG,HEAT_DAYS
netherland,1996,Q1,3.4009340659340666,10.47,0.0
netherland,1996,Q2,14.344670329670338,14.12,12.0
netherland,1996,Q3,19.15978260869566,12.84,11.0
netherland,1996,Q4,8.556304347826089,11.68,4.0
netherland,1997,Q1,5.812388888888892,9.81,10.0
netherland,1997,Q2,14.898956043956039,12.52,10.0
netherland,1997,Q3,21.338586956521738,12.42,33.0
netherland,1997,Q4,9.987771739130434,10.17,23.0
netherland,1998,Q1,8.018333333333334,10.62,20.0
netherland,1998,Q2,15.703791208791209,13.2,14.0
netherland,1998,Q3,18.982065217391302,15.55,4.0
netherland,1998,Q4,8.450054347826084,8.05,0.0
netherland,1999,Q1,7.281388888888889,10.24,14.0
netherland,1999,Q2,15.426043956043953,13.06,0.0
netherland,1999,Q3,21.03467391304347,11.81,16.0
netherland,1999,Q4,10.225108695652168,8.12,5.0
netherland,2000,Q1,7.557362637362641,10.36,5.0
netherland,2000,Q2,15.921428571428576,13.12,25.0
netherland,2000,Q3,19.361032608695645,12.53,0.0
netherland,2000,Q4,10.172880434782618,9.64,16.0
netherland,2001,Q1,5.907499999999997,10.51,0.0
netherland,2001,Q2,14.490274725274732,11.27,3.0
netherland,2001,Q3,19.696684782608703,11.8,21.0
netherland,2001,Q4,10.987119565217387,8.74,37.0
netherland,2002,Q1,7.955055555555555,12.36,18.0
netherland,2002,Q2,15.609835164835168,12.89,4.0
netherland,2002,Q3,20.234945652173916,10.82,17.0
netherland,2002,Q4,9.311358695652174,9.8,8.0
netherland,2003,Q1,6.616500000000004,13.27,14.0
netherland,2003,Q2,16.21439560439561,13.2,22.0
netherland,2003,Q3,21.279836956521745,12.12,28.0
netherland,2003,Q4,9.634891304347823,9.51,6.0
netherland,2004,Q1,7.000384615384617,11.77,25.0
netherland,2004,Q2,15.328296703296713,13.1,4.0
netherland,2004,Q3,19.95967391304348,13.19,13.0
netherland,2004,Q4,10.06516304347826,9.64,6.0
netherland,2005,Q1,6.781777777777776,10.64,22.0
netherland,2005,Q2,15.583791208791213,14.34,18.0
netherland,2005,Q3,19.760869565217405,11.7,0.0
netherland,2005,Q4,11.23021739130435,9.38,43.0
netherland,2006,Q1,4.86977777777778,9.87,11.0
netherland,2006,Q2,15.428296703296708,13.29,12.0
netherland,2006,Q3,21.866684782608704,13.89,38.0
netherland,2006,Q4,12.318532608695662,10.12,37.0
netherland,2007,Q1,8.97388888888889,10.55,36.0
netherland,2007,Q2,17.2632967032967,15.01,13.0
netherland,2007,Q3,19.042989130434783,11.39,4.0
netherland,2007,Q4,9.90233695652174,9.31,18.0
netherland,2008,Q1,7.695384615384616,9.14,0.0
netherland,2008,Q2,16.193901098901094,11.96,12.0
netherland,2008,Q3,19.591195652173905,12.12,4.0
netherland,2008,Q4,9.15847826086956,8.17,7.0
netherland,2009,Q1,5.412777777777777,9.22,0.0
netherland,2009,Q2,16.574230769230777,13.11,12.0
netherland,2009,Q3,20.858858695652174,12.78,16.0
netherland,2009,Q4,10.016793478260869,9.66,5.0
netherland,2010,Q1,4.214944444444445,10.62,12.0
netherland,2010,Q2,14.759505494505502,14.48,13.0
netherland,2010,Q3,19.757608695652177,13.52,10.0
netherland,2010,Q4,7.81326086956522,8.96,20.0
netherland,2011,Q1,6.613333333333335,11.45,20.0
netherland,2011,Q2,17.035000000000007,13.75,22.0
netherland,2011,Q3,19.24065217391304,12.87,0.0
netherland,2011,Q4,11.152608695652171,11.12,18.0
netherland,2012,Q1,6.758131868131862,10.68,17.0
netherland,2012,Q2,14.867912087912089,11.7,12.0
netherland,2012,Q3,19.762717391304353,11.32,10.0
netherland,2012,Q4,9.673532608695652,9.12,8.0
netherland,2013,Q1,4.022388888888888,12.03,4.0
netherland,2013,Q2,13.754120879120876,13.17,0.0
netherland,2013,Q3,20.464456521739134,12.17,12.0
netherland,2013,Q4,10.661521739130428,10.84,22.0
netherland,2014,Q1,8.903055555555557,12.39,32.0
netherland,2014,Q2,16.60796703296703,11.68,9.0
netherland,2014,Q3,20.6108695652174,11.62,14.0
netherland,2014,Q4,11.103749999999996,8.56,31.0
netherland,2015,Q1,6.788222222222223,12.05,7.0
netherland,2015,Q2,14.972307692307693,13.35,0.0
netherland,2015,Q3,19.93913043478262,13.11,8.0
netherland,2015,Q4,11.929782608695644,10.99,10.0
netherland,2016,Q1,7.0243406593406625,10.56,2.0
netherland,2016,Q2,15.624120879120888,11.32,20.0
netherland,2016,Q3,21.14108695652175,11.83,21.0
netherland,2016,Q4,9.698423913043476,10.2,6.0
netherland,2017,Q1,6.991666666666669,11.68,28.0
netherland,2017,Q2,16.524725274725284,13.92,27.0
netherland,2017,Q3,19.906413043478267,11.45,2.0
netherland,2017,Q4,10.805597826086952,8.66,18.0
netherland,2018,Q1,5.838944444444442,9.48,0.0
netherland,2018,Q2,17.75483516483517,13.5,35.0
netherland,2018,Q3,21.772173913043495,13.74,25.0
netherland,2018,Q4,11.096358695652183,11.04,26.0
netherland,2019,Q1,8.281222222222222,12.46,33.0
netherland,2019,Q2,16.76692307692307,14.56,24.0
netherland,2019,Q3,21.370054347826095,14.87,21.0
netherland,2019,Q4,10.326847826086947,9.86,2.0
netherland,2020,Q1,8.53835164835165,11.29,8.0
netherland,2020,Q2,16.801153846153866,13.61,16.0
netherland,2020,Q3,21.371195652173917,13.6,34.0
netherland,2020,Q4,10.81038043478261,9.62,7.0
netherland,2021,Q1,6.694111111111113,12.76,18.0
