YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,1,1,1.05,0.57,0.81,2.09,1.68,2,0.32
1996,1,2,-0.67,-2.13,-1.4,0.79,2.93,0.9,-2.02
1996,1,3,-1.64,-3.31,-2.48,-0.31,3.2,0.49,-2.7
1996,1,4,-0.24,-1.24,-0.74,0.71,3.91,2.25,-1.65
1996,1,5,-1.67,-3.9,-2.79,-0.25,5.35,1.05,-4.3
1996,1,6,-3.33,-5.11,-4.22,-1.17,4.71,-0.93,-5.64
1996,1,7,2.53,2.29,2.4,2.61,6.52,4.49,-2.03
1996,1,8,2.93,2.54,2.73,3.02,4.62,5.51,0.9
1996,1,9,3.58,3.08,3.33,3.37,4.03,5.87,1.84
1996,1,10,4.09,3.9,4,3.73,1.97,5.42,3.44
1996,1,11,4.47,3.73,4.1,3.96,4.81,6.93,2.12
1996,1,12,6.2,5.65,5.93,5.26,2.97,8.28,5.3
1996,1,13,5.69,5.25,5.47,5.12,3.83,7.51,3.69
1996,1,14,4.01,3.4,3.7,3.65,6.45,7.38,0.93
1996,1,15,2.34,2.12,2.23,2.26,4.91,4.69,-0.22
1996,1,16,2.83,2.61,2.73,2.83,1.93,3.81,1.89
1996,1,17,1.79,1.47,1.62,2.26,3.05,3.72,0.67
1996,1,18,0.47,-0.24,0.12,1.71,2.74,2.17,-0.57
1996,1,19,-0.21,-1.19,-0.7,1.11,3.16,1.19,-1.97
1996,1,20,-1.04,-3.35,-2.2,0.46,3.52,1.12,-2.41
1996,1,21,-1.31,-3.88,-2.6,0.13,3.42,0.12,-3.31
1996,1,22,-0.86,-3.52,-2.19,0.24,5.8,2.17,-3.63
1996,1,23,-3.56,-5.6,-4.58,-1.57,4.77,-0.97,-5.75
1996,1,24,-3.23,-5.82,-4.52,-1.31,4.62,-1.33,-5.96
1996,1,25,-7.45,-10.75,-9.1,-4.32,3.65,-5.66,-9.31
1996,1,26,-8.4,-10.36,-9.38,-4.87,1.73,-7.62,-9.34
1996,1,27,-5.01,-6.81,-5.91,-2.91,5.76,-1.7,-7.46
